Name,Município,Data_Avist,Estado,Latitude,Longitude,Data_Revis,Status
Praia do Carro Quebrado,Barra de Santo Antônio,2019-09-18,AL,"09° 20' 30.08"" S","35° 26' 55.32"" W",2019-10-21,Oleada - Manchas
Barra de Santo Antônio,Barra de Santo Antônio,2019-09-22,AL,"09° 20' 53.00"" S","35° 27' 52.00"" W",2019-10-13,Oleada - Vestígios/Esparsos
Praia do Morro de Camaragibe,Barra de Santo Antônio,2019-10-21,AL,"09° 19' 43.21"" S","35° 26' 20.04"" W",,Oleada - Vestígios/Esparsos
Barra de São Miguel,Barra de São Miguel,2019-09-19,AL,"09° 49' 32.34"" S","35° 52' 45.36"" W",2019-10-22,Oleada - Vestígios/Esparsos
Praia Bonita,Barra de São Miguel,2019-10-21,AL,"09° 50' 30.34"" S","35° 53' 35.66"" W",,Oleada - Vestígios/Esparsos
Barra do Santo Antônio,Barra do Santo Antônio,2019-10-13,AL,"09° 25' 52.88"" S","35° 30' 31.53"" W",2019-10-15,Oleada - Manchas
Barra do Santo Antônio,Barra do Santo Antônio,2019-10-13,AL,"09° 24' 51.00"" S","35° 29' 51.79"" W",2019-10-14,Oleada - Vestígios/Esparsos
Ilha da Croa,Barra do Santo Antônio,2019-10-13,AL,"09° 22' 55.58"" S","35° 29' 28.37"" W",2019-10-13,Oleada - Manchas
Pontal do Coruripe,Coruripe,2019-09-27,AL,"10° 09' 38.62"" S","36° 08' 07.09"" W",2019-10-23,Óleo - Não Observado
Lagoa do Pau,Coruripe,2019-09-27,AL,"10° 07' 47.04"" S","36° 06' 36.04"" W",2019-10-07,Óleo - Não Observado
Coruripe,Coruripe,2019-10-12,AL,"10° 10' 08.00"" S","36° 09' 54.33"" W",,Oleada - Vestígios/Esparsos
Praia de Flexeiras,Feliz Deserto,2019-10-21,AL,"10° 19' 12.66"" S","36° 18' 02.44"" W",2019-10-23,Oleada - Vestígios/Esparsos
Barreira do Boqueirão,Japaratinga,2019-10-14,AL,"09° 07' 30.00"" S","35° 16' 32.00"" W",2019-10-18,Oleada - Vestígios/Esparsos
Praia de Japaratinga,Japaratinga,2019-10-16,AL,"09° 04' 56.00"" S","35° 14' 54.65"" W",2019-10-21,Oleada - Vestígios/Esparsos
Foz do Rio Manguba,Japaratinga,2019-10-21,AL,"09° 09' 24.48"" S","35° 17' 20.72"" W",2019-10-23,Oleada - Vestígios/Esparsos
Rio Salgado,Japaratinga,2019-10-21,AL,"09° 03' 38.77"" S","35° 14' 22.56"" W",,Oleada - Vestígios/Esparsos
Pajuçara/Ponta Verde,Maceió,2019-09-15,AL,"09° 39' 51.55"" S","35° 42' 26.61"" W",2019-09-15,Oleada - Vestígios/Esparsos
Ipioca,Maceió,2019-09-17,AL,"09° 32' 52.37"" S","35° 37' 03.18"" W",2019-10-03,Oleada - Vestígios/Esparsos
Praia do Antunes,Maragogi,2019-10-16,AL,"08° 58' 40.20"" S","35° 10' 54.70"" W",2019-10-17,Oleada - Vestígios/Esparsos
Ponta do Mangue,Maragogi,2019-10-16,AL,"08° 57' 20.20"" S","35° 10' 16.70"" W",2019-10-18,Oleada - Vestígios/Esparsos
Barra Grande,Maragogi,2019-10-17,AL,"08° 59' 28.93"" S","35° 11' 57.07"" W",2019-10-21,Oleada - Vestígios/Esparsos
Barra Grande,Maragogi,2019-10-16,AL,"08° 54' 59.00"" S","35° 09' 09.77"" W",2019-10-18,Oleada - Vestígios/Esparsos
Praia da Peroba,Maragogi,2019-10-18,AL,"08° 55' 49.00"" S","35° 09' 49.48"" W",2019-10-18,Oleada - Vestígios/Esparsos
Ponta do Mangue,Maragogi,2019-10-16,AL,"08° 57' 47.14"" S","35° 10' 29.92"" W",2019-10-21,Oleada - Vestígios/Esparsos
Barra dos Coqueiros,Maragogi,2019-10-20,AL,"08° 58' 10.65"" S","35° 10' 37.82"" W",,Oleada - Vestígios/Esparsos
Centro,Maragogi,2019-10-21,AL,"09° 00' 46.15"" S","35° 13' 15.46"" W",,Oleada - Vestígios/Esparsos
Praia de Burgalhau,Maragogi,2019-10-21,AL,"09° 00' 07.51"" S","35° 12' 36.65"" W",,Oleada - Vestígios/Esparsos
Praia do Camacho,Maragogi,2019-10-23,AL,,,,Oleada - Vestígios/Esparsos
Praia do Francês,Marechal Deodoro,2019-09-18,AL,"09° 46' 11.18"" S","35° 50' 20.89"" W",,Oleada - Vestígios/Esparsos
Lot. Encontro do Mar,Marechal Deodoro,2019-09-21,AL,"09° 47' 20.25"" S","35° 51' 22.14"" W",,Oleada - Vestígios/Esparsos
Ponta da Barra,Marechal Deodoro,2019-10-13,AL,"09° 43' 02.48"" S","35° 47' 45.32"" W",2019-10-21,Oleada - Vestígios/Esparsos
Paripueira,Paripueira,2019-09-22,AL,"09° 27' 32.00"" S","35° 32' 14.00"" W",,Oleada - Vestígios/Esparsos
Piaçabuçu,Piaçabuçu,2019-10-01,AL,"10° 26' 16.94"" S","36° 21' 14.31"" W",,Oleada - Vestígios/Esparsos
Praia do Pontal do Peba,Piaçabuçu,2019-10-05,AL,"10° 20' 43.44"" S","36° 18' 06.19"" W",2019-10-23,Oleada - Vestígios/Esparsos
Foz do Rio São Francisco,Piaçabuçu,2019-10-09,AL,"10° 29' 22.00"" S","36° 23' 37.01"" W",2019-10-22,Óleo - Não Observado
Foz do rio Tatuamunha,Porto de Pedra,2019-10-22,AL,"09° 13' 25.39"" S","35° 19' 53.58"" W",,Oleada - Vestígios/Esparsos
Praia do Gunga,Roteiro,2019-09-22,AL,"09° 54' 11.14"" S","35° 56' 19.58"" W",2019-10-22,Oleada - Vestígios/Esparsos
Praia do Gunga,Roteiro,2019-09-22,AL,"09° 52' 05.25"" S","35° 54' 20.79"" W",,Oleada - Vestígios/Esparsos
Lagoa Azeda,Roteiro,2019-10-22,AL,"09° 58' 17.18"" S","35° 58' 46.89"" W",,Oleada - Vestígios/Esparsos
Viral,São Cristóvão,2019-10-20,AL,"11° 08' 10.50"" S","37° 09' 17.14"" W",2019-10-22,Óleo - Não Observado
Garapuá,Cairu,2019-10-22,BA,"13° 22' 41.66"" S","38° 55' 09.84"" W",,Oleada - Vestígios/Esparsos
Morro de São Paulo,Cairu,2019-10-21,BA,,,2019-10-23,Óleo - Não Observado
Guarajuba,Camaçari,2019-10-09,BA,"12° 38' 57.32"" S","38° 03' 40.17"" W",2019-10-23,Oleada - Vestígios/Esparsos
Praia de Itacimirim,Camaçari,2019-10-09,BA,"12° 37' 39.36"" S","38° 02' 42.77"" W",2019-10-19,Oleada - Vestígios/Esparsos
Arembepe,Camaçari,2019-10-10,BA,"12° 45' 45.00"" S","38° 10' 05.50"" W",2019-10-22,Oleada - Vestígios/Esparsos
Praia de Jauá,Camaçari,2019-10-18,BA,"12° 49' 36.62"" S","38° 13' 21.69"" W",2019-10-19,Óleo - Não Observado
Praia do Japonês,Camaçari,2019-10-21,BA,"12° 50' 22.67"" S","38° 14' 06.72"" W",2019-10-23,Óleo - Não Observado
Barra do Jacuípe,Camaçari,2019-10-22,BA,"12° 42' 21.37"" S","38° 07' 12.99"" W",,Oleada - Manchas
Sítio do Conde,Conde,2019-10-04,BA,"11° 51' 10.64"" S","37° 33' 50.37"" W",2019-10-20,Oleada - Manchas
Conde,Conde,2019-10-05,BA,"11° 44' 24.06"" S","37° 31' 01.86"" W",2019-10-05,Oleada - Vestígios/Esparsos
Itariri,Conde,2019-10-05,BA,"11° 57' 58.76"" S","37° 37' 12.84"" W",2019-10-22,Oleada - Vestígios/Esparsos
Praia de Poças,Conde,2019-10-20,BA,"11° 48' 49.48"" S","37° 32' 45.27"" W",2019-10-20,Oleada - Manchas
Porto de Sauípe,Entre Rios,2019-10-09,BA,"12° 23' 32.26"" S","37° 52' 53.72"" W",2019-10-22,Oleada - Manchas
